Sentiment,Tweet
Positive,This is like my 5th entry let me win something Lift me
Positive,please David
Positive,Assure my Assurance Ehn O B O
Positive,please let this one fall on me
Positive,to stand a chance
Positive,lift your boy baba
Positive,OBO help me life I really need this team 30 billion gang
Positive,Auty chi am here oo
Positive,bless me
Positive,Pick me now
Positive,This is one of my side hustle I grind when I m back from work at 6pm to make money for transport fare for the next day 50n
Positive,Rise up obo
Positive,Chi My Tweet oooo
Positive,DM me naa More grace and wins
Positive,abeg please
Positive,Download Slowly by Ganz for free
Positive,please let your blessings fall on me sir I am retweet
Positive,This my second time of tweeting bro David na you God send come this time Make he fal
Positive,Me or who pls
Positive,pick me boss
Positive,Bro help me with a new phone abeg
Positive,gonna do it again just in case you didn t see the first one
Negative,Please bless me too this will mean a lot thank you and God bless you
Positive,Bro abeg help me with new phone abeg
Positive,Please I wanna win too Select me
Positive,Do Friday for ur boy
Positive,Deleted
Positive,Yes ooo OBO
Positive,Please SON OF MERCY OBO BADDEST
Positive,show my guy love
Positive,Boss show love to your PH fans today Bikonu please I don follow the two accounts both for Twitter and IG but my p
Positive,Boss I ve done what you instructed Oya bless me i wanna rise pls lift me I will appre
Positive,Make My Own No Lost
Positive,No make i carry last OBO Make this phone fall on me too baba mii
Positive,How I wish I also be among the list ongoing promo is
Positive,Please select me
