,Sentiment,Tweet,Tweettime
88,Positive,"RT @JKsBlueWhisper: Aaaaand the New Kids made more than Ariana and Drake.
Why are people always in denial and counting @NKOTB out?

Ya HEAR…",2018-07-23 09:24:30
89,Neutral,"RT @TommySobiesski: me: I’m definitely not drinking tonight
friend: “want another shot?”
me: https://t.co/5pyRzERHWR",2018-07-23 09:24:30
90,Neutral,RT @benhatem_walid: Drake fait des dégâts... 😱😱 https://t.co/MJbBb1Cp9y,2018-07-23 09:24:30
91,Neutral,"RT @HotNewHipHop: .@wizkhalifa will grab the #2 spot this week with #RollingPapers2.

@Drake remains at #1 for the third week. 

https://t.…",2018-07-23 09:24:27
92,Neutral,"RT @chartdata: Billboard 200: #1(=) @Drake, Scorpion 260,000 (29,000 pure sales | 218,000 total sales). *third week at #1*",2018-07-23 09:24:27
93,Neutral,RT @Humming_head: Acabo de descubrir que este tipo se llama Drake 🙉 https://t.co/LiLVTKCYuy,2018-07-23 09:24:25
94,Neutral,"RT @vxtakaki: drake  ja dizia:

foi mal ae po  mas eu só amo minha mãe e minha cama",2018-07-23 09:24:24
95,Neutral,RT @ChildhoodShows: The first and last Drake &amp; Josh intros https://t.co/t4vkfgAX2o,2018-07-23 09:24:21
96,Negative,Drake always doing corny shit loooool idk why that pic is cracking me up https://t.co/lllUR4ryjJ,2018-07-23 09:24:21
97,Positive,"RT @WSHHRAP: Rap artists with the most No. 1 singles:

1. Drake - 18
2. Kanye West - 15
3. Missy Elliott - 13
4. Lil Wayne - 10
5. Jay-Z -…",2018-07-23 09:24:21
98,Positive,I added a video to a @YouTube playlist https://t.co/wB41ekZRfX Drake - In My Feelings / Kiki Do You Love Me (Lyrics),2018-07-23 09:24:19
99,Neutral,Following the finale of the Uncharted: Drake's Fortune series. Uncharted 2: Among Thieves starts July 30th. https://t.co/FScJPZENgi,2018-07-23 09:24:18
